aasima, aasida, aasib, aasitakse, aasige, aasis, aasinud, aasitud
abielluma, abielluda, abiellub, abiellutakse, abielluge, abiellus, abiellunud, abiellutud
abistama, abistada, abistab, abistatakse, abistage, abistas, abistanud, abistatud
absorbeeruma, absorbeeruda, absorbeerub, absorbeerutakse, absorbeeruge, absorbeerus, absorbeerunud, absorbeerutud
abstraheerima, abstraheerida, abstraheerib, abstraheeritakse, abstraheerige, abstraheeris, abstraheerinud, abstraheeritud
abstraheeruma, abstraheeruda, abstraheerub, abstraheerutakse, abstraheeruge, abstraheerus, abstraheerunud, abstraheerutud
adapteeruma, adapteeruda, adapteerub, adapteerutakse, adapteeruge, adapteerus, adapteerunud, adapteerutud
adsorbeeruma, adsorbeeruda, adsorbeerub, adsorbeerutakse, adsorbeeruge, adsorbeerus, adsorbeerunud, adsorbeerutud
aduma, aduda, adub, adutakse, aduge, adus, adunud, adutud
aeglema, ajelda, aegleb, ajeldakse, ajelge, aegles, ajelnud, ajeldud
aeglustuma, aeglustuda, aeglustub, aeglustutakse, aeglustuge, aeglustus, aeglustunud, aeglustutud
aeguma, aeguda, aegub, aegutakse, aeguge, aegus, aegunud, aegutud
aelema, aeleda, aeleb, aeletakse, aelege, aeles, aelenud, aeletud
aglutineeruma, aglutineeruda, aglutineerub, aglutineerutakse, aglutineeruge, aglutineerus, aglutineerunud, aglutineerutud
ahastama, ahastada, ahastab, ahastatakse, ahastage, ahastas, ahastanud, ahastatud
ahatama, ahatada, ahatab, ahatatakse, ahatage, ahatas, ahatanud, ahatatud
aheldama, aheldada, aheldab, aheldatakse, aheldage, aheldas, aheldanud, aheldatud
ahelduma, ahelduda, aheldub, aheldutakse, ahelduge, aheldus, aheldunud, aheldutud
ahenema, aheneda, aheneb, ahenetakse, ahenege, ahenes, ahenenud, ahenetud
ahetama, ahetada, ahetab, ahetatakse, ahetage, ahetas, ahetanud, ahetatud
ahhetama, ahhetada, ahhetab, ahhetatakse, ahhetage, ahhetas, ahhetanud, ahhetatud
ahistama, ahistada, ahistab, ahistatakse, ahistage, ahistas, ahistanud, ahistatud
ahkima, ahkida, ahib, ahitakse, ahkige, ahkis, ahkinud, ahitud
ahkuma, ahkuda, ahkub, ahkutakse, ahkuge, ahkus, ahkunud, ahkutud
ahnitsema, ahnitseda, ahnitseb, ahnitsetakse, ahnitsege, ahnitses, ahnitsenud, ahnitsetud
ahtruma, ahtruda, ahtrub, ahtrutakse, ahtruge, ahtrus, ahtrunud, ahtrutud
ahtuma, ahtuda, ahtub, ahtutakse, ahtuge, ahtus, ahtunud, ahtutud
ahvatlema, ahvatleda, ahvatleb, ahvatletakse, ahvatlege, ahvatles, ahvatlenud, ahvatletud
