äädikaline, äädikalise, äädikalist, äädikalisesse|äädikalisse, äädikaliste, äädikalisi
äärmine, äärmise, äärmist, äärmisesse|äärmisse, äärmiste, äärmisi|äärmiseid
äärmuslik, äärmusliku, äärmuslikku, äärmuslikusse|äärmuslikku, äärmuslike|äärmuslikkude, äärmuslikke|äärmuslikkusid
aastane, aastase, aastast, aastasesse|aastasse, aastaste, aastasi|aastaseid
aateline, aatelise, aatelist, aatelisesse|aatelisse, aateliste, aatelisi
äbar, äbara, äbarat, äbarasse, äbarate, äbaraid
äbarik, äbariku, äbarikku, äbarikusse|äbarikku, äbarike|äbarikkude, äbarikke|äbarikkusid
abistav, abistava, abistavat, abistavasse, abistavate, abistavaid
abitu, abitu, abitut, abitusse, abitute, abituid
ablas, apla, ablast, aplasse, ablaste, aplaid
abnormne, abnormse, abnormset, abnormsesse, abnormsete, abnormseid
abrasiivne, abrasiivse, abrasiivset, abrasiivsesse, abrasiivsete, abrasiivseid
absoluutne, absoluutse, absoluutset, absoluutsesse, absoluutsete, absoluutseid
abstraktne, abstraktse, abstraktset, abstraktsesse, abstraktsete, abstraktseid
absurdne, absurdse, absurdset, absurdsesse, absurdsete, absurdseid
adekvaatne, adekvaatse, adekvaatset, adekvaatsesse, adekvaatsete, adekvaatseid
administratiivne, administratiivse, administratiivset, administratiivsesse, administratiivsete, administratiivseid
aeglane, aeglase, aeglast, aeglasesse|aeglasse, aeglaste, aeglasi|aeglaseid
aegne, aegse, aegset, aegsesse, aegsete, aegseid
aegunud, aegunu, aegunut, aegunusse, aegunute, aegunuid
aetud, aetu, aetut, aetusse, aetute, aetuid
afekteeritud, afekteeritu, afekteeritut, afekteeritusse, afekteeritute, afekteerituid
afektiivne, afektiivse, afektiivset, afektiivsesse, afektiivsete, afektiivseid
aganane, aganase, aganast, aganasesse|aganasse, aganaste, aganasi
agar, agara, agarat, agarasse, agarate, agaraid
äge, ägeda, ägedat, ägedasse, ägedate, ägedaid
agraarne, agraarse, agraarset, agraarsesse, agraarsete, agraarseid
agressiivne, agressiivse, agressiivset, agressiivsesse, agressiivsete, agressiivseid
aher, ahtra, ahtrat, ahtrasse, ahtrate, ahtraid
ähmane, ähmase, ähmast, ähmasesse, ähmaste, ähmaseid
ähmjas, ähmja, ähmjat, ähmjasse, ähmjate, ähmjaid
ahne, ahne, ahnet, ahnesse, ahnete, ahneid
ahnitsev, ahnitseva, ahnitsevat, ahnitsevasse, ahnitsevate, ahnitsevaid
ahvatlev, ahvatleva, ahvatlevat, ahvatlevasse, ahvatlevate, ahvatlevaid
äikeseline, äikeselise, äikeselist, äikeselisesse|äikeselisse, äikeseliste, äikeselisi
aimamatu, aimamatu, aimamatut, aimamatusse, aimamatute, aimamatuid
aimatav, aimatava, aimatavat, aimatavasse, aimatavate, aimatavaid
aimeline, aimelise, aimelist, aimelisesse|aimelisse, aimeliste, aimelisi
aineline, ainelise, ainelist, ainelisesse|ainelisse, aineliste, ainelisi
