aabits	S	16
aade	S	9
aadress	S	72
aamen	D	10
aaria	A/S	6
aasima	V	5
aas	S/S	25
aastaaeg	S	14
aastakäik	S	7
aastakümme	S	50
aastane	A	48
aastapalk	S	6
aastapäev	S	29
aasta	S	3337
aastasada	S	13
aastatepikkune	A	8
aastatetagune	A	6
aastatuhat	S	14
aastavahetus	S	10
aatemees	S	5
abielluma	V	33
abiellumine	S	12
abielumees	S	6
abielupaar	S	8
abielu	S	77
abikaasa	S	100
abil	D	112
abiline	S	12
abinõu	S	23
abi	S	326
abisaadetis	S	5
abistama	V	20
abistamine	S	13
abistav	A	9
abitu	A	32
abitult	D	19
abiturient	S	5
abitus	S	7
abivalmis	A	8
abort	S	16
absoluutne	A	15
absoluutselt	D	28
abstraktne	A	13
absurdne	A	22
absurd	S	11
adekvaatne	A	6
ader	S	6
administraator	S	5
administratsioon	S	10
admiral	S	10
adrenaliin	S	5
adresseerima	V	11
aduma	V	10
advokaat	S	48
aedik	S	6
aednik	S	6
aed	S	150
aedvili	S	7
aega	D	26
aeg-ajalt	D	106
aegajalt	D	19
aegamööda	D	14
aeglane	A	32
aeglaselt	D	61
aeglasem	A	8
aeglasemalt	D	6
aeglustama	V	11
aegluubis	D	7
aeg	S	2387
aegsasti	D	11
aeguma	V	12
aer	S	11
afäär	S	6
aga	D	5276
agaralt	D	6
agar	A/S	7
agent	S	16
agressiivne	A	6
agronoom	S	8
agul	S	7
ahaa	D	10
ahah	D	9
ahastus	S	12
ah	D	144
ahel	S	16
ahhaa	D	7
ahhetama	V	7
ahi	S	52
ahistama	V	13
ahistav	A	5
ahjusuu	S	5
ahmima	V	9
ahne	A	6
ahnus	S	10
ahter	S	17
ahvatlema	V	11
ahvatlev	A	9
ahvatlus	S	5
ahven	S	8
aiamaa	S	6
aiamaja	S	5
aiasaadus	S	5
ai	D	59
aimama	V	109
aimatav	A	6
aimdus	S	7
aim	S	40
aimuma	V	5
aimus	S	9
aina	D	159
aineline	A	8
aine	S	48
aines	S	6
ainuke	A	87
ainukene	S	6
ainulaadne	A	6
ainult	D	1382
ainus	A	245
ainuvõimalik	A	6
ainuõige	A	7
ainuüksi	D	52
ais	S	5
aitama	V	413
aitamine	S	5
ait	S	33
aitäh	D	23
ajaarvamine	S	5
ajajärk	S	5
ajakiri	S	54
ajakirjandus	S	101
ajakirjanik	S	126
ajal	D	294
ajalehepaber	S	7
ajaleht	S	218
ajaline	A	6
ajaliselt	D	5
ajaloolane	S	41
ajalooline	S	59
ajalooliselt	D	7
ajalooteadus	S	5
ajalooõpetaja	S	6
ajalugu	S	168
ajama	V	491
ajamine	S	10
ajapikendus	S	9
ajapikku	D	19
ajastu	S	43
ajav	A	6
ajavahemik	S	18
ajaviide	S	11
ajel	D	5
ajendama	V	11
ajend	S	15
aju	S	48
ajuti	D	8
ajutine	A	33
ajutiselt	D	25
akadeemia	S	60
akadeemik	S	26
akadeemiline	A	18
aken	S	384
aknaklaas	S	20
aknalaud	S	26
aknaraam	S	5
aktiivne	A	44
aktiivselt	D	17
aktiivsus	S	22
akt	S	31
aktsent	S	11
aktsepteerima	V	21
aktsia	S	297
aktsiaselts	S	88
aktsioon	S	16
