aabe, aape, aabet, aapesse, aabete, aapeid
aabits, aabitsa, aabitsat, aabitsasse, aabitsate, aabitsaid
aade, aate, aadet, aatesse, aadete, aateid
aadel, aadli, aadlit, aadlisse, aadlite, aadleid
aadeldaja, aadeldaja, aadeldajat, aadeldajasse, aadeldajate, aadeldajaid
aadeldamine, aadeldamise, aadeldamist, aadeldamisesse|aadeldamisse, aadeldamiste, aadeldamisi
aadelkond, aadelkonna, aadelkonda, aadelkonnasse|aadelkonda, aadelkondade, aadelkondi|aadelkondasid
äädikas, äädika, äädikat, äädikasse, äädikate, äädikaid
aadlik, aadliku, aadlikku, aadlikusse|aadlikku, aadlike|aadlikkude, aadlikke|aadlikkusid
aadress, aadressi, aadressi, aadressisse|aadressi, aadresside, aadresse|aadressisid
aafriklane, aafriklase, aafriklast, aafriklasesse|aafriklasse, aafriklaste, aafriklasi
aaker, aakri, aakrit, aakrisse, aakrite, aakreid
aaloe, aaloe, aaloed, aaloesse, aaloede, aaloesid
aam, aami, aami, aamisse|aami, aamide, aame|aamisid
aamen, aameni, aamenit, aamenisse, aamenite, aameneid
aapestik, aapestiku, aapestikku, aapestikusse|aapestikku, aapestike|aapestikkude, aapestikke|aapestikkusid
aara, aara, aarat, aarasse, aarade, aarasid
äär, ääre, äärt, ääresse|äärde, äärte, ääri
aar, aari, aari, aarisse|aari, aaride, aare|aarisid
aardla, aardla, aardlat, aardlasse, aardlate, aardlaid
aare, aarde, aaret, aardesse, aarete, aardeid
aaria, aaria, aariat, aariasse, aariate, aariaid
aarialane, aarialase, aarialast, aarialasesse|aarialasse, aarialaste, aarialasi
ääris, äärise, äärist, äärisesse, ääriste, ääriseid
ääristaja, ääristaja, ääristajat, ääristajasse, ääristajate, ääristajaid
ääristamine, ääristamise, ääristamist, ääristamisesse|ääristamisse, ääristamiste, ääristamisi
äärmus, äärmuse, äärmust, äärmusesse|äärmusse, äärmuste, äärmusi|äärmuseid
äärmuslane, äärmuslase, äärmuslast, äärmuslasesse|äärmuslasse, äärmuslaste, äärmuslasi
äärmuslikkus, äärmuslikkuse, äärmuslikkust, äärmuslikkusesse|äärmuslikkusse, äärmuslikkuste, äärmuslikkusi|äärmuslikkuseid
äärmuslus, äärmusluse, äärmuslust, äärmuslusesse|äärmuslusse, äärmusluste, äärmuslusi
aas, aasa, aasa, aasasse|aasa, aasade, aasu|aasasid
aasaja, aasaja, aasajat, aasajasse, aasajate, aasajaid
aasamine, aasamise, aasamist, aasamisesse|aasamisse, aasamiste, aasamisi
aasialane, aasialase, aasialast, aasialasesse|aasialasse, aasialaste, aasialasi
aasta, aasta, aastat, aastasse, aastate, aastaid
aastak, aastaku, aastakut, aastakusse, aastakute, aastakuid
aatleja, aatleja, aatlejat, aatlejasse, aatlejate, aatlejaid
aatlemine, aatlemise, aatlemist, aatlemisesse|aatlemisse, aatlemiste, aatlemisi
aatom, aatomi, aatomit, aatomisse, aatomite, aatomeid
aatrium, aatriumi, aatriumi|aatriumit, aatriumisse|aatriumi, aatriumide|aatriumite, aatriume|aatriumeid|aatriumisid
aažio, aažio, aažiot, aažiosse, aažiote, aažioid
abajas, abaja, abajat, abajasse, abajate, abajaid
abakus, abakuse, abakust, abakusesse|abakusse, abakuste, abakusi
äbarik, äbariku, äbarikku, äbarikusse|äbarikku, äbarike|äbarikkude, äbarikke|äbarikkusid
abažuur, abažuuri, abažuuri, abažuurisse|abažuuri, abažuuride, abažuure|abažuurisid
aberratsioon, aberratsiooni, aberratsiooni, aberratsioonisse|aberratsiooni, aberratsioonide, aberratsioone|aberratsioonisid
abessiiv, abessiivi, abessiivi, abessiivisse|abessiivi, abessiivide, abessiive|abessiivisid
abi, abi, abi, abisse|appi, abide, abisid
abiline, abilise, abilist, abilisesse|abilisse, abiliste, abilisi
abioos, abioosi, abioosi, abioosisse|abioosi, abiooside, abioose|abioosisid
abistaja, abistaja, abistajat, abistajasse, abistajate, abistajaid
abistamine, abistamise, abistamist, abistamisesse|abistamisse, abistamiste, abistamisi
abiturient, abituriendi, abiturienti, abituriendisse|abiturienti, abiturientide, abituriente|abiturientisid
abitus, abituse, abitust, abitusesse|abitusse, abituste, abitusi
abituurium, abituuriumi, abituuriumi|abituuriumit, abituuriumisse|abituuriumi, abituuriumide|abituuriumite, abituuriume|abituuriumeid|abituuriumisid
ablatiiv, ablatiivi, ablatiivi, ablatiivisse|ablatiivi, ablatiivide, ablatiive|ablatiivisid
aboneerija, aboneerija, aboneerijat, aboneerijasse, aboneerijate, aboneerijaid
aboneerimine, aboneerimise, aboneerimist, aboneerimisesse|aboneerimisse, aboneerimiste, aboneerimisi
abonement, abonemendi, abonementi, abonemendisse|abonementi, abonementide, abonemente|abonementisid
abonent, abonendi, abonenti, abonendisse|abonenti, abonentide, abonente|abonentisid
aborigeen, aborigeeni, aborigeeni, aborigeenisse|aborigeeni, aborigeenide, aborigeene|aborigeenisid
abort, abordi, aborti, abordisse|aborti, abortide, aborte|abortisid
aborteerija, aborteerija, aborteerijat, aborteerijasse, aborteerijate, aborteerijaid
aborteerimine, aborteerimise, aborteerimist, aborteerimisesse|aborteerimisse, aborteerimiste, aborteerimisi
abortija, abortija, abortijat, abortijasse, abortijate, abortijaid
abortimine, abortimise, abortimist, abortimisesse|abortimisse, abortimiste, abortimisi
abreviatuur, abreviatuuri, abreviatuuri, abreviatuurisse|abreviatuuri, abreviatuuride, abreviatuure|abreviatuurisid
absolutiseerija, absolutiseerija, absolutiseerijat, absolutiseerijasse, absolutiseerijate, absolutiseerijaid
absolutiseerimine, absolutiseerimise, absolutiseerimist, absolutiseerimisesse|absolutiseerimisse, absolutiseerimiste, absolutiseerimisi
absolutism, absolutismi, absolutismi, absolutismisse|absolutismi, absolutismide, absolutisme|absolutismisid
absolutist, absolutisti, absolutisti, absolutistisse|absolutisti, absolutistide, absolutiste|absolutistisid
absoluut, absoluudi, absoluuti, absoluudisse|absoluuti, absoluutide, absoluute|absoluutisid
absorbeerimine, absorbeerimise, absorbeerimist, absorbeerimisesse|absorbeerimisse, absorbeerimiste, absorbeerimisi
absorbeerumine, absorbeerumise, absorbeerumist, absorbeerumisesse|absorbeerumisse, absorbeerumiste, absorbeerumisi
absorbtsioon, absorbtsiooni, absorbtsiooni, absorbtsioonisse|absorbtsiooni, absorbtsioonide, absorbtsioone|absorbtsioonisid
abstraheerija, abstraheerija, abstraheerijat, abstraheerijasse, abstraheerijate, abstraheerijaid
abstraheerimine, abstraheerimise, abstraheerimist, abstraheerimisesse|abstraheerimisse, abstraheerimiste, abstraheerimisi
abstraheerumine, abstraheerumise, abstraheerumist, abstraheerumisesse|abstraheerumisse, abstraheerumiste, abstraheerumisi
abstraktsionism, abstraktsionismi, abstraktsionismi, abstraktsionismisse|abstraktsionismi, abstraktsionismide, abstraktsionisme|abstraktsionismisid
abstraktsioon, abstraktsiooni, abstraktsiooni, abstraktsioonisse|abstraktsiooni, abstraktsioonide, abstraktsioone|abstraktsioonisid
abstraktsus, abstraktsuse, abstraktsust, abstraktsusesse|abstraktsusse, abstraktsuste, abstraktsusi|abstraktsuseid
abstsess, abstsessi, abstsessi, abstsessisse|abstsessi, abstsesside, abstsesse|abstsessisid
absurd, absurdi, absurdi, absurdisse|absurdi, absurdide, absurde|absurdisid
absurdsus, absurdsuse, absurdsust, absurdsusesse|absurdsusse, absurdsuste, absurdsusi|absurdsuseid
abt, abti, abti, abtisse|abti, abtide, abte|abtisid
abtiss, abtissi, abtissi, abtississe|abtissi, abtisside, abtisse|abtissisid
abtkond, abtkonna, abtkonda, abtkonnasse|abtkonda, abtkondade, abtkondi|abtkondasid
abu, abu, abu, abusse, abude, abusid
