aadeldama, aadeldada, aadeldab, aadeldatakse, aadeldage, aadeldas, aadeldanud, aadeldatud
ääristama, ääristada, ääristab, ääristatakse, ääristage, ääristas, ääristanud, ääristatud
aasama, aasata, aasab, aasatakse, aasake, aasas, aasanud, aasatud
aatlema, aadelda, aatleb, aadeldakse, aadelge, aatles, aadelnud, aadeldud
abielluma, abielluda, abiellub, abiellutakse, abielluge, abiellus, abiellunud, abiellutud
abistama, abistada, abistab, abistatakse, abistage, abistas, abistanud, abistatud
ablastuma, ablastuda, ablastub, ablastutakse, ablastuge, ablastus, ablastunud, ablastutud
aboneerima, aboneerida, aboneerib, aboneeritakse, aboneerige, aboneeris, aboneerinud, aboneeritud
aborteerima, aborteerida, aborteerib, aborteeritakse, aborteerige, aborteeris, aborteerinud, aborteeritud
abortima, abortida, abordib, aborditakse, abortige, abortis, abortinud, aborditud
absolutiseerima, absolutiseerida, absolutiseerib, absolutiseeritakse, absolutiseerige, absolutiseeris, absolutiseerinud, absolutiseeritud
absoluudistama, absoluudistada, absoluudistab, absoluudistatakse, absoluudistage, absoluudistas, absoluudistanud, absoluudistatud
absoluutima, absoluutida, absoluudib, absoluuditakse, absoluutige, absoluutis, absoluutinud, absoluuditud
absorbeerima, absorbeerida, absorbeerib, absorbeeritakse, absorbeerige, absorbeeris, absorbeerinud, absorbeeritud
absorbeeruma, absorbeeruda, absorbeerub, absorbeerutakse, absorbeeruge, absorbeerus, absorbeerunud, absorbeerutud
abstraheerima, abstraheerida, abstraheerib, abstraheeritakse, abstraheerige, abstraheeris, abstraheerinud, abstraheeritud
abstraheeruma, abstraheeruda, abstraheerub, abstraheerutakse, abstraheeruge, abstraheerus, abstraheerunud, abstraheerutud
adapteerima, adapteerida, adapteerib, adapteeritakse, adapteerige, adapteeris, adapteerinud, adapteeritud
adapteeruma, adapteeruda, adapteerub, adapteerutakse, adapteeruge, adapteerus, adapteerunud, adapteerutud
adjektiveeruma, adjektiveeruda, adjektiveerub, adjektiveerutakse, adjektiveeruge, adjektiveerus, adjektiveerunud, adjektiveerutud
administreerima, administreerida, administreerib, administreeritakse, administreerige, administreeris, administreerinud, administreeritud
adopteerima, adopteerida, adopteerib, adopteeritakse, adopteerige, adopteeris, adopteerinud, adopteeritud
adresseerima, adresseerida, adresseerib, adresseeritakse, adresseerige, adresseeris, adresseerinud, adresseeritud
adsorbeerima, adsorbeerida, adsorbeerib, adsorbeeritakse, adsorbeerige, adsorbeeris, adsorbeerinud, adsorbeeritud
adsorbeeruma, adsorbeeruda, adsorbeerub, adsorbeerutakse, adsorbeeruge, adsorbeerus, adsorbeerunud, adsorbeerutud
aduma, aduda, adub, adutakse, aduge, adus, adunud, adutud
adverbialiseeruma, adverbialiseeruda, adverbialiseerub, adverbialiseerutakse, adverbialiseeruge, adverbialiseerus, adverbialiseerunud, adverbialiseerutud
adverbistuma, adverbistuda, adverbistub, adverbistutakse, adverbistuge, adverbistus, adverbistunud, adverbistutud
aeglustama, aeglustada, aeglustab, aeglustatakse, aeglustage, aeglustas, aeglustanud, aeglustatud
aeglustuma, aeglustuda, aeglustub, aeglustutakse, aeglustuge, aeglustus, aeglustunud, aeglustutud
aeguma, aeguda, aegub, aegutakse, aeguge, aegus, aegunud, aegutud
aelema, aeleda, aeleb, aeletakse, aelege, aeles, aelenud, aeletud
aerosoolitama, aerosoolitada, aerosoolitab, aerosoolitatakse, aerosoolitage, aerosoolitas, aerosoolitanud, aerosoolitatud
aerutama, aerutada, aerutab, aerutatakse, aerutage, aerutas, aerutanud, aerutatud
äestama, äestada, äestab, äestatakse, äestage, äestas, äestanud, äestatud
aetama, aetada, aetab, aetatakse, aetage, aetas, aetanud, aetatud
aevastama, aevastada, aevastab, aevastatakse, aevastage, aevastas, aevastanud, aevastatud
afekteerima, afekteerida, afekteerib, afekteeritakse, afekteerige, afekteeris, afekteerinud, afekteeritud
afilieerima, afilieerida, afilieerib, afilieeritakse, afilieerige, afilieeris, afilieerinud, afilieeritud
